BN	TN	SN	seqNum	exeType	prepTime	exeTime	iti	hand	cuePress	cueMask	press1	press2	press3	press4	press5	press6	RT	ET	MT	isError	timingError	points	response1	response2	response3	response4	response5	response6	pressTime1	pressTime2	pressTime3	pressTime4	pressTime5	pressTime6	timeThreshold	timeThresholdSuper	startTime	startTimeReal	trialDur	startTR	startTRtime	useMetronome	isCross	
1	1	15	3	1	4000	2500	1000	2	555555	******	5	5	5	5	5	5	534.000	1444.000	1978.000	0	0	2	5	5	5	5	5	5	4534.000	4838.000	5094.000	5328.000	5584.000	5842.000	0.000	0.000	10000	10000	7506	10	994	1	0	
1	2	15	2	0	8000	2500	2000	2	333333	******	3	3	3	3	3	3	0.000	0.000	0.000	0	0	1	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	17500	17510	12506	18	501	1	0	
1	3	15	6	0	4000	2500	1000	2	513153	******	5	1	3	1	5	3	0.000	0.000	0.000	0	0	1	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	30000	30020	7506	31	7	1	1	
1	4	15	5	1	4000	2500	4000	2	351531	******	3	5	1	5	3	1	684.000	1816.000	2500.000	1	0	0	5	1	2	5	4	3	4684.000	5542.000	5694.000	5834.000	5920.000	6478.000	0.000	0.000	37500	37532	10664	38	516	1	0	
1	5	15	3	1	6000	2500	1000	2	555555	******	5	5	5	5	5	5	382.000	1410.000	1792.000	0	0	2	5	5	5	5	5	5	6382.000	6660.000	6894.000	7148.000	7376.000	7642.000	0.000	0.000	48000	48200	9506	49	182	1	0	
1	6	15	3	0	4000	2500	1000	2	555555	******	5	5	5	5	5	5	0.000	0.000	0.000	0	0	1	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	57500	57710	7506	58	688	1	1	
1	7	15	1	1	6000	2500	4000	2	111111	******	1	1	1	1	1	1	400.000	1542.000	1942.000	0	0	2	1	1	1	1	1	1	6400.000	6678.000	6938.000	7214.000	7496.000	7772.000	0.000	0.000	65000	65220	12506	66	195	1	0	
1	8	15	2	0	6000	2500	4000	2	333333	******	3	3	3	3	3	3	0.000	0.000	0.000	0	0	1	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	77500	77730	12506	78	702	1	0	
1	9	15	4	1	4000	2500	1000	2	135315	******	1	3	5	3	1	5	464.000	1328.000	1792.000	0	0	2	1	3	5	3	1	5	4464.000	4736.000	4946.000	5384.000	5524.000	5668.000	0.000	0.000	90000	90239	7506	91	205	1	0	
1	10	15	4	0	4000	2500	4000	2	135315	******	1	3	5	3	1	5	0.000	0.000	0.000	0	0	1	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	97500	97750	10506	98	713	1	0	
